brazo,modelo,base,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,ret_retraso,ret_colas,ret_spill,vehiculos,recompensa,decisiones
actuado,actuado,,1011,128.6,78.52,52.21,158,2.944,2855,395.6,140.7,-32.622,259,0,254.68,171.74,185.64,4.075,0.351,0.0353,127,9,38,38,-529914.6,-359457.5,-547074.6,3620,-71572.1,2194
actuado,actuado,,1012,115.21,67.37,44.79,130,2.732,2879,375.3,132.6,-27.328,263,0,257.79,175.13,193.35,4.107,0.311,0.0064,23,3,38,38,-464132.9,-301695.6,-478194.9,3620,-60012.6,2196
actuado,actuado,,1013,118.65,70.77,46.52,137,2.778,2861,381.3,134.9,-28.757,260,0,261.36,178.33,194.15,4.123,0.279,0.0025,9,1,36,38,-482772.9,-320995.5,-496050.9,3620,-63840.2,2220
actuado,actuado,,1014,138.32,87.1,57.35,171,3.05,2820,410.6,146.6,-36.208,263,0,262.51,179.68,194.89,4.128,0.25,0.0489,176,11,38,38,-576857.8,-402500.9,-596449.8,3620,-80165.0,2214
actuado,actuado,,1015,124.63,78.62,52.0,156,2.845,2827,391.1,139.1,-32.118,260,0,261.65,178.52,194.08,3.979,0.234,0.0297,114,10,38,38,-510524.5,-355610.2,-530202.5,3620,-70788.4,2204
actuado,actuado,,1016,117.16,69.15,45.86,136,2.803,2866,377.4,133.6,-28.046,261,0,255.95,173.02,189.07,4.162,0.33,0.0189,68,6,38,38,-473892.1,-310523.4,-489386.1,3620,-61756.2,2202
actuado,actuado,,1017,116.84,69.98,46.44,138,2.831,2877,379.6,134.4,-28.25,260,0,258.51,175.55,192.39,4.228,0.298,0.0069,25,5,37,38,-471325.4,-312481.0,-484961.4,3620,-62150.6,2200
actuado,actuado,,1018,141.29,91.92,60.18,169,2.985,2811,416.0,148.9,-39.856,266,0,264.18,181.31,201.44,4.009,0.273,0.0442,179,12,38,38,-613716.3,-445260.0,-634938.3,3620,-88719.4,2226
actuado,actuado,,1019,133.64,84.07,55.29,159,2.94,2837,403.1,143.8,-38.975,266,0,257.56,174.59,191.62,4.097,0.299,0.0203,73,9,38,38,-602078.3,-433542.0,-619328.3,3620,-86368.4,2216
actuado,actuado,,1020,117.6,69.59,46.24,141,2.881,2868,378.3,134.1,-27.858,260,0,256.37,173.42,188.93,4.254,0.306,0.0236,85,8,38,38,-470398.5,-307466.8,-486142.5,3620,-61176.4,2196
actuado,actuado,,1021,124.2,75.31,50.17,164,2.89,2852,388.3,138.0,-30.88,260,0,250.01,167.16,180.47,3.929,0.372,0.0333,120,9,38,38,-506298.6,-339863.9,-523818.6,3620,-67626.2,2190
actuado,actuado,,1022,123.99,77.69,51.03,148,2.823,2825,388.4,138.3,-32.548,264,0,259.67,176.79,194.37,4.041,0.295,0.0325,136,9,38,38,-520559.0,-363375.1,-539789.0,3620,-72256.4,2220
actuado,actuado,,1023,129.66,82.35,53.81,152,2.838,2834,397.1,141.6,-39.699,266,0,259.84,176.97,195.07,4.087,0.284,0.0358,129,9,38,38,-604695.6,-444760.6,-622751.6,3620,-88608.8,2232
actuado,actuado,,1024,125.98,77.26,50.85,137,2.921,2843,391.0,139.0,-31.137,262,0,264.22,181.28,200.06,4.221,0.269,0.0303,117,11,38,38,-512914.8,-346809.4,-534140.8,3620,-68999.2,2216
actuado,actuado,,1025,126.13,77.64,50.99,139,2.899,2846,391.9,139.4,-32.584,267,0,258.0,175.28,190.48,4.099,0.318,0.0283,102,8,38,38,-528097.8,-363316.6,-545713.8,3620,-72336.0,2220
actuado,actuado,,1026,124.28,74.57,49.05,145,2.913,2857,389.5,138.1,-30.6,267,0,260.64,177.93,196.61,4.182,0.26,0.0128,46,4,38,38,-510110.5,-340934.4,-527292.5,3620,-67871.7,2218
actuado,actuado,,1027,129.85,81.75,53.93,162,3.014,2835,398.5,142.1,-33.47,263,0,261.3,178.72,194.63,4.232,0.277,0.0314,113,8,38,38,-535175.3,-371696.9,-552135.3,3620,-73968.3,2210
actuado,actuado,,1028,116.42,69.52,46.02,139,2.886,2876,377.6,133.8,-27.81,264,0,256.23,173.23,189.14,4.299,0.282,0.0142,51,5,38,38,-467446.1,-308161.0,-480112.1,3620,-61293.3,2204
actuado,actuado,,1029,118.25,71.56,47.44,139,2.857,2870,381.8,135.3,-28.883,259,0,260.18,177.17,192.76,4.283,0.255,0.0131,62,6,38,38,-477474.8,-319528.0,-493016.8,3620,-63542.9,2200
actuado,actuado,,1030,123.74,74.26,49.78,142,3.008,2857,388.6,138.0,-30.421,253,0,254.54,171.65,185.93,4.216,0.311,0.0175,63,7,38,38,-500976.7,-332762.2,-516462.7,3620,-66196.5,2176
